t,j1,j2,j3
1770814454.0906982,0.0,0.0,0.0
1770814454.1407597,0.0,0.0,0.0
1770814454.190822,0.0,0.0,0.0
1770814454.2408838,0.0,0.0,0.0
1770814454.290945,0.0,0.0,0.0
1770814454.3410366,0.0,0.0,0.0
1770814454.391098,0.0,0.0,0.0
1770814454.441192,0.0,0.0,0.0
1770814454.491284,0.0,0.0,0.0
1770814454.5413554,0.0,0.0,0.0
1770814454.591448,0.0,0.0,0.0
1770814454.641512,0.0,0.0,0.0
1770814454.6915696,0.0,0.0,0.0
1770814454.7416294,0.0,0.0,0.0
1770814454.791687,0.0,0.0,0.0
1770814454.841781,0.0,0.0,0.0
1770814454.8918803,0.0,0.0,0.0
1770814454.9419427,0.0,0.0,0.0
1770814454.9920387,0.0,0.0,0.0
1770814455.0421307,0.0,0.0,0.0
1770814455.0922298,0.0,0.0,0.0
1770814455.1423283,0.0,0.0,0.0
1770814455.1923966,0.0,0.0,0.0
1770814455.2424927,0.0,0.0,0.0
1770814455.2925596,0.0,0.0,0.0
1770814455.3426611,0.0,0.0,0.0
1770814455.392753,0.0,0.0,0.0
1770814455.4428475,0.0,0.0,0.0
1770814455.4929416,0.0,0.0,0.0
1770814455.5430367,0.0,0.0,0.0
1770814455.5931358,0.0,0.0,0.0
1770814455.6432278,0.0,0.0,0.0
1770814455.6933198,0.0,0.0,0.0
1770814455.7433772,0.0,0.0,0.0
1770814455.7934835,0.0,0.0,0.0
1770814455.8435433,0.0,0.0,0.0
1770814455.8936448,0.0,0.0,0.0
1770814455.9437373,0.0,0.0,0.0
1770814455.9938424,0.0,0.0,0.0
1770814456.0439382,0.0,0.0,0.0
1770814456.0939546,0.0,0.0,0.0
1770814456.1440449,0.0,0.0,0.0
1770814456.194102,0.0,0.0,0.0
1770814456.2441595,0.0,0.0,0.0
1770814456.2942498,0.0,0.0,0.0
1770814456.3443148,0.0,0.0,0.0
1770814456.3944123,0.0,0.0,0.0
1770814456.4445057,0.0,0.0,0.0
1770814456.4945982,0.0,0.0,0.0
1770814456.5446599,0.0,0.0,0.0
1770814456.5947561,0.0,0.0,0.0
1770814456.644847,0.0,0.0,0.0
1770814456.6949584,0.0,0.0,0.0
1770814456.7450256,0.0,0.0,0.0
1770814456.7950866,0.0,0.0,0.0
1770814456.8451784,0.0,0.0,0.0
1770814456.8952708,0.0,0.0,0.0
1770814456.9453647,0.0,0.0,0.0
1770814456.9954293,0.0,0.0,0.0
1770814457.0455155,0.0,0.0,0.0
1770814457.095578,0.0,0.0,0.0
1770814457.1456397,0.0,0.0,0.0
1770814457.1957,0.0,0.0,0.0
1770814457.2457616,0.0,0.0,0.0
1770814457.2958207,0.0,0.0,0.0
1770814457.3458827,0.0,0.0,0.0
1770814457.3959734,0.0,0.0,0.0
1770814457.446035,0.0,0.0,0.0
1770814457.4960945,0.0,0.0,0.0
1770814457.5461898,0.0,0.0,0.0
1770814457.5962658,0.0,0.0,0.0
1770814457.6463256,0.0,0.0,0.0
1770814457.6964161,0.0,0.0,0.0
1770814457.746477,0.0,0.0,0.0
1770814457.7965386,0.0,0.0,0.0
1770814457.846602,0.0,0.0,0.0
1770814457.8966968,0.0,0.0,0.0
1770814457.9467952,0.0,0.0,0.0
1770814457.996892,0.0,0.0,0.0
1770814458.0469851,0.0,0.0,0.0
1770814458.0970795,0.0,0.0,0.0
1770814458.147174,0.0,0.0,0.0
1770814458.1972427,0.0,0.0,0.0
1770814458.247311,0.0,0.0,0.0
1770814458.297391,0.0,0.0,0.0
1770814458.3474586,0.0,0.0,0.0
1770814458.3974745,0.0,0.0,0.0
1770814458.447566,0.0,0.0,0.0
1770814458.4976308,0.0,0.0,0.0
1770814458.5476923,0.0,0.0,0.0
1770814458.5977535,0.0,0.0,0.0
1770814458.6478117,0.0,0.0,0.0
1770814458.6979249,0.0,0.0,0.0
1770814458.7480175,0.0,0.0,0.0
1770814458.7981112,0.0,0.0,0.0
1770814458.8482025,0.0,0.0,0.0
1770814458.8982933,0.0,0.0,0.0
1770814458.9483886,0.0,0.0,0.0
1770814458.998472,0.0,0.0,0.0
1770814459.0485368,0.0,0.0,0.0
1770814459.0986009,0.0,0.0,0.0
1770814459.1486952,0.0,0.0,0.0
1770814459.1987886,0.0,0.0,0.0
1770814459.2488809,0.0,0.0,0.0
1770814459.2989745,0.0,0.0,0.0
1770814459.349067,0.0,0.0,0.0
1770814459.3991623,0.0,0.0,0.0
1770814459.4492548,0.0,0.0,0.0
1770814459.4993465,0.0,0.0,0.0
