t,pressure
1770814444.4268436,0.0
1770814444.4369333,0.0
1770814444.4470289,0.0
1770814444.4571457,0.0
1770814444.4672365,0.0
1770814444.4773266,0.0
1770814444.487417,0.0
1770814444.4974833,0.0
1770814444.507551,0.0
1770814444.517612,0.0
1770814444.5277038,0.0
1770814444.537797,0.0
1770814444.547887,0.0
1770814444.557948,0.0
1770814444.568038,0.0
1770814444.5781307,0.0
1770814444.5881948,0.0
1770814444.598286,0.0
1770814444.6083848,0.0
1770814444.6184797,0.0
1770814444.6285696,0.0
1770814444.6386437,0.0
1770814444.6487398,0.0
1770814444.6588306,0.0
1770814444.6689224,0.0
1770814444.6790206,0.0
1770814444.6890812,0.0
1770814444.6991708,0.0
1770814444.7092702,0.0
1770814444.71936,0.0
1770814444.729468,0.0
1770814444.7395375,0.0
1770814444.749597,0.0
1770814444.759657,0.0
1770814444.7697167,0.0
1770814444.779789,0.0
1770814444.7898474,0.0
1770814444.7999063,0.0
1770814444.8099658,0.0
1770814444.8200264,0.0
1770814444.8301165,0.0
1770814444.8401732,0.0
1770814444.850269,0.0
1770814444.8603582,0.0
1770814444.8704543,0.0
1770814444.8805134,0.0
1770814444.8905728,0.0
1770814444.9006352,0.0
1770814444.9106967,0.0
1770814444.920758,0.0
1770814444.9308183,0.0
1770814444.940878,0.0
1770814444.9509382,0.0
1770814444.9610286,0.0
1770814444.9711223,0.0
1770814444.981213,0.0
1770814444.9913018,0.0
1770814445.001394,0.0
1770814445.0114348,0.0
1770814445.02148,0.0
1770814445.0315392,0.0
1770814445.0416048,0.0
1770814445.0516603,0.0
1770814445.0617151,0.0
1770814445.0717702,0.0
1770814445.0818253,0.0
1770814445.09188,0.0
1770814445.10198,0.0
1770814445.1120703,0.0
1770814445.1221604,0.0
1770814445.1322575,0.0
1770814445.142347,0.0
1770814445.1524403,0.0
1770814445.162541,0.0
1770814445.1726303,0.0
1770814445.1827078,0.0
1770814445.1928031,0.0
1770814445.2028933,0.0
1770814445.212983,0.0
1770814445.223072,0.0
1770814445.233163,0.0
1770814445.2432559,0.0
1770814445.2533453,0.0
1770814445.2634351,0.0
1770814445.273528,0.0
1770814445.2836192,0.0
1770814445.2936785,0.0
1770814445.3037379,0.0
1770814445.3138278,0.0
1770814445.3238873,0.0
1770814445.3339474,0.0
1770814445.3440082,0.0
1770814445.3540971,0.0
1770814445.3641887,0.0
1770814445.3742776,0.0
1770814445.3843656,0.0
1770814445.3944545,0.0
1770814445.4044785,0.0
1770814445.4145396,0.0
1770814445.4245996,0.0
1770814445.4346592,0.0
1770814445.4447188,0.0
1770814445.4547784,0.0
1770814445.4648404,0.0
1770814445.474901,0.0
1770814445.484989,0.0
1770814445.4950778,0.0
1770814445.505166,0.0
1770814445.5152402,0.0
1770814445.5253053,0.0
1770814445.5353947,0.0
1770814445.5454981,0.0
1770814445.555557,0.0
1770814445.5656185,0.0
1770814445.5756779,0.0
1770814445.5857375,0.0
1770814445.5958283,0.0
1770814445.6059196,0.0
1770814445.6160135,0.0
1770814445.6261163,0.0
1770814445.6362064,0.0
1770814445.646303,0.0
1770814445.6563947,0.0
1770814445.6664684,0.0
1770814445.6765285,0.0
1770814445.6865873,0.0
1770814445.696692,0.0
1770814445.7067494,0.0
1770814445.7168038,0.0
1770814445.7268589,0.0
1770814445.736914,0.0
1770814445.7469687,0.0
1770814445.7570431,0.0
1770814445.767133,0.0
1770814445.7772229,0.0
1770814445.787319,0.0
1770814445.79741,0.0
1770814445.8075047,0.0
1770814445.8176079,0.0
1770814445.8276985,0.0
1770814445.8377962,0.0
1770814445.847856,0.0
1770814445.8579469,0.0
1770814445.868042,0.0
1770814445.8781312,0.0
1770814445.8882217,0.0
1770814445.8983119,0.0
1770814445.908402,0.0
1770814445.9185104,0.0
1770814445.9286025,0.0
1770814445.9386952,0.0
1770814445.9487863,0.0
1770814445.9588811,0.0
1770814445.9689825,0.0
1770814445.979077,0.0
1770814445.9891813,0.0
1770814445.9992714,0.0
1770814446.0093613,0.0
1770814446.019422,0.0
1770814446.029471,0.0
1770814446.0394845,0.0
1770814446.0495436,0.0
1770814446.0596058,0.0
1770814446.0697038,0.0
1770814446.079797,0.0
1770814446.0898864,0.0
1770814446.099979,0.0
1770814446.1100733,0.0
1770814446.1201694,0.0
1770814446.1302605,0.0
1770814446.1403506,0.0
1770814446.1504412,0.0
1770814446.160534,0.0
1770814446.170596,0.0
1770814446.1806548,0.0
1770814446.1907146,0.0
1770814446.200774,0.0
1770814446.2108922,0.0
1770814446.2209892,0.0
1770814446.2310803,0.0
1770814446.24117,0.0
1770814446.251259,0.0
1770814446.2613196,0.0
1770814446.2713807,0.0
1770814446.2814953,0.0
1770814446.2915545,0.0
1770814446.3016138,0.0
1770814446.3116734,0.0
1770814446.3217351,0.0
1770814446.3317955,0.0
1770814446.341855,0.0
1770814446.3519526,0.0
1770814446.3620422,0.0
1770814446.3721342,0.0
1770814446.3822272,0.0
1770814446.3923218,0.0
1770814446.402421,0.0
1770814446.4125128,0.0
1770814446.4226077,0.0
1770814446.4327,0.0
1770814446.442801,0.0
1770814446.4528906,0.0
1770814446.46298,0.0
1770814446.4730718,0.0
1770814446.4831743,0.0
1770814446.4932697,0.0
1770814446.5033598,0.0
1770814446.5134552,0.0
1770814446.523541,0.0
1770814446.5336337,0.0
1770814446.5437,0.0
1770814446.553787,0.0
1770814446.563876,0.0
1770814446.573973,0.0
1770814446.5840642,0.0
1770814446.5941553,0.0
1770814446.6042454,0.0
1770814446.6143372,0.0
1770814446.6244307,0.0
1770814446.6345227,0.0
1770814446.6446278,0.0
1770814446.6547186,0.0
1770814446.664819,0.0
1770814446.6749089,0.0
1770814446.685,0.0
1770814446.6950622,0.0
1770814446.7051601,0.0
1770814446.7152605,0.0
1770814446.725336,0.0
1770814446.735433,0.0
1770814446.7455285,0.0
